Image,Number of Zeros X,Number of Zeros Y,Sparsity,Error,Lambda
mwc1MR_1001_2_20160701130924.nii,11886,7295,3.152369553143592,3.724215919303023e-05,0.01
mwc1MR_1001_2_20160701130924.nii,13356,7295,2.956883409839321,6.213326463026544e-05,0.02
mwc1MR_1001_2_20160701130924.nii,15316,7295,1.533141418255363,0.00011285213520307668,0.05
mwc1MR_1001_2_20160701130924.nii,15899,7295,1.3712304249549385,0.00016122329670382598,0.1
mwc1MR_1002_2_20160715122634.nii,12013,7223,3.133007815345689,3.631774998705682e-05,0.01
mwc1MR_1002_2_20160715122634.nii,13361,7223,2.91521841735055,6.052562514672273e-05,0.02
mwc1MR_1002_2_20160715122634.nii,15413,7223,1.5016961104142574,0.00011823049425514472,0.05
mwc1MR_1002_2_20160715122634.nii,15928,7223,1.3479826170069846,0.00017348546885833388,0.1
mwc1MR_1003_5_20160914100618.nii,11766,7225,3.145890251239671,3.5783911128872226e-05,0.01
mwc1MR_1003_5_20160914100618.nii,13180,7225,2.950605169887635,6.052543379242419e-05,0.02
mwc1MR_1003_5_20160914100618.nii,15347,7225,1.5175268105150685,0.00011598039766535263,0.05
mwc1MR_1003_5_20160914100618.nii,15893,7225,1.3647539805556332,0.0001600035110348326,0.1
mwc1MR_1004_2_20160805130611.nii,12146,7342,3.094082748083013,3.474711366459042e-05,0.01
mwc1MR_1004_2_20160805130611.nii,13476,7342,2.8787704482566734,6.114315437233587e-05,0.02
mwc1MR_1004_2_20160805130611.nii,15475,7342,1.4941631456796807,0.0001125333099494412,0.05
mwc1MR_1004_2_20160805130611.nii,15952,7342,1.3469655279267927,0.00015508836890940655,0.1
mwc1MR_1005_2_20160722123224.nii,11785,7143,3.181121014223573,3.530851137987218e-05,0.01
mwc1MR_1005_2_20160722123224.nii,13167,7143,2.9907479621224273,6.126887467264778e-05,0.02
mwc1MR_1005_2_20160722123224.nii,15230,7143,1.5755096016694452,0.0001190133437448515,0.05
mwc1MR_1005_2_20160722123224.nii,15861,7143,1.3879753999741955,0.00017806086003655154,0.1
mwc1MR_1007_2_20160719124145.nii,12149,7191,3.1197577208408704,3.625380400656418e-05,0.01
mwc1MR_1007_2_20160719124145.nii,13467,7191,2.9122089935093363,5.884546153678806e-05,0.02
mwc1MR_1007_2_20160719124145.nii,15427,7191,1.5011720540653084,0.00011420261603320779,0.05
mwc1MR_1007_2_20160719124145.nii,15937,7191,1.3466755850251042,0.00016742586710676862,0.1
mwc1MR_1011_2_20160823124322.nii,11814,7070,3.149898722569739,3.593747353141908e-05,0.01
mwc1MR_1011_2_20160823124322.nii,13168,7070,2.979215047501301,6.195780441330055e-05,0.02
mwc1MR_1011_2_20160823124322.nii,15303,7070,1.5280699976414478,0.00011645152110028987,0.05
mwc1MR_1011_2_20160823124322.nii,15883,7070,1.3786299936569062,0.00018056740231862603,0.1
mwc1MR_1012_2_20160722115010.nii,11840,7333,3.1382820832531917,3.502968635167094e-05,0.01
mwc1MR_1012_2_20160722115010.nii,13290,7333,2.9415821551154067,5.9035497268864994e-05,0.02
mwc1MR_1012_2_20160722115010.nii,15245,7333,1.5542720945879138,0.00011932442430627971,0.05
mwc1MR_1012_2_20160722115010.nii,15879,7333,1.3863535558516387,0.00017465670948852653,0.1
mwc1MR_1017_2_20160902140329.nii,11731,7275,3.1840425733753204,3.572924596612434e-05,0.01
mwc1MR_1017_2_20160902140329.nii,13142,7275,2.9779512179613348,6.1277597861807e-05,0.02
mwc1MR_1017_2_20160902140329.nii,15259,7275,1.5674562856852103,0.00011167933834976307,0.05
mwc1MR_1017_2_20160902140329.nii,15867,7275,1.3941153112080282,0.00017342076499691375,0.1
mwc1MR_1021_2_20160916100329.nii,11782,7017,3.157652606644123,3.57222909995318e-05,0.01
mwc1MR_1021_2_20160916100329.nii,13208,7017,2.961378383054783,6.326024104835664e-05,0.02
mwc1MR_1021_2_20160916100329.nii,15287,7017,1.5545665199475889,0.00011703890320425504,0.05
mwc1MR_1021_2_20160916100329.nii,15850,7017,1.3826677723050376,0.00017830073628419905,0.1
